1,B·novce nad Bebravou,BN,301,6
2,Bansk· Bystrica,BB,601,1
3,Bansk· ätiavnica,BS,602,1
4,Bardejov,BJ,701,5
5,Bratislava I,"BA, BL",101,2
6,Bratislava II,"BA, BL",102,2
7,Bratislava III,"BA, BL",103,2
8,Bratislava IV,"BA, BL",104,2
9,Bratislava V,"BA, BL",105,2
10,Brezno,BR,603,1
11,BytËa,BY,501,8
12,»adca,CA,502,8
13,Detva,DT,604,1
14,Doln˝ KubÌn,DK,503,8
15,Dunajsk· Streda,DS,201,7
16,Galanta,GA,202,7
17,Gelnica,GL,801,3
18,Hlohovec,HC,203,7
19,HumennÈ,HE,702,5
20,Ilava,IL,302,6
21,Keûmarok,KK,703,5
22,Kom·rno,KN,401,4
23,Koöice I,KE,802,3
24,Koöice II,KE,803,3
25,Koöice III,KE,804,3
26,Koöice IV,KE,805,3
27,Koöice-okolie,KS,806,3
28,Krupina,KA,605,1
29,KysuckÈ NovÈ Mesto,KM,504,8
30,Levice,LV,402,4
31,LevoËa,LE,704,5
32,Liptovsk˝ Mikul·ö,LM,505,8
33,LuËenec,LC,606,1
34,Malacky,MA,106,2
35,Martin,MT,506,8
36,Medzilaborce,ML,705,5
37,Michalovce,MI,807,3
38,Myjava,MY,303,6
39,N·mestovo,NO,507,8
40,Nitra,NR,403,4
41,NovÈ Mesto nad V·hom,NM,304,6
42,NovÈ Z·mky,NZ,404,4
43,Partiz·nske,PE,305,6
44,Pezinok,PK,107,2
45,Pieöùany,PN,204,7
46,Polt·r,PT,607,1
47,Poprad,PP,706,5
48,Povaûsk· Bystrica,PB,306,6
49,Preöov,PO,707,5
50,Prievidza,PD,307,6
51,P˙chov,PU,308,6
52,Rev˙ca,RA,608,1
53,Rimavsk· Sobota,RS,609,1
54,RoûÚava,RV,808,3
55,Ruûomberok,RK,508,8
56,Sabinov,SB,708,5
57,Senec,SC,108,2
58,Senica,SE,205,7
59,Skalica,SI,206,7
60,Snina,SV,709,5
61,Sobrance,SO,809,3
62,Spiösk· Nov· Ves,SN,810,3
63,Star· ºubovÚa,SL,710,5
64,Stropkov,SP,711,5
65,SvidnÌk,SK,712,5
66,äaæa,SA,405,4
67,TopoæËany,TO,406,4
68,Trebiöov,TV,811,3
69,TrenËÌn,TN,309,6
70,Trnava,TT,207,7
71,TurËianske Teplice,TR,509,8
72,TvrdoöÌn,TS,510,8
73,Veæk˝ KrtÌö,VK,610,1
74,Vranov nad Topæou,VT,713,5
75,ZlatÈ Moravce,ZM,407,4
76,Zvolen,ZV,611,1
77,éarnovica,ZC,612,1
78,éiar nad Hronom,ZH,613,1
79,éilina,ZA,511,8
